"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Kenyan Drake",4100,"TB@MIA 01:00PM ET",2.912,"MIA"
"RB","DeAndre Washington",4100,"OAK@TEN 01:00PM ET",5.488,"OAK"
"TE","Martellus Bennett",4100,"SEA@GB 04:25PM ET",10.372,"GB"
"RB","C.J. Prosise",4100,"SEA@GB 04:25PM ET",10.167,"SEA"
"RB","Tim Hightower",4100,"CAR@SF 04:25PM ET",8.113,"SF"
"WR","Sterling Shepard",4100,"NYG@DAL 08:30PM ET",11.629,"NYG"
"QB","Tyler Bray",4000,"KC@NE 08:30PM ET",0,"KC"
"QB","Joel Stave",4000,"KC@NE 08:30PM ET",0,"KC"
"RB","Charcandrick West",4000,"KC@NE 08:30PM ET",6.025,"KC"
"QB","Bryce Petty",4000,"NYJ@BUF 01:00PM ET",6.710,"NYJ"
"QB","Nathan Peterman",4000,"NYJ@BUF 01:00PM ET",0,"BUF"
"QB","Keith Wenning",4000,"NYJ@BUF 01:00PM ET",0,"BUF"
"QB","Matt Simms",4000,"ATL@CHI 01:00PM ET",0,"ATL"
"QB","Connor Shaw",4000,"ATL@CHI 01:00PM ET",0,"CHI"
"WR","Taylor Gabriel",4000,"ATL@CHI 01:00PM ET",10.367,"ATL"
"QB","Alek Torgersen",4000,"ATL@CHI 01:00PM ET",0,"ATL"
"QB","Jeff Driskel",4000,"BAL@CIN 01:00PM ET",0,"CIN"
"QB","Josh Woodrum",4000,"BAL@CIN 01:00PM ET",0,"BAL"
"QB","Dustin Vaughan",4000,"BAL@CIN 01:00PM ET",0,"BAL"
"QB","Thad Lewis",4000,"BAL@CIN 01:00PM ET",0,"BAL"
"QB","Robert Griffin III",4000,"PIT@CLE 01:00PM ET",14.088,"CLE"
"WR","Josh Gordon",4000,"PIT@CLE 01:00PM ET",0,"CLE"
"RB","Fitzgerald Toussaint",4000,"PIT@CLE 01:00PM ET",0.672,"PIT"
"WR","Justin Hunter",4000,"PIT@CLE 01:00PM ET",4.069,"PIT"
"QB","Kevin Hogan",4000,"PIT@CLE 01:00PM ET",5.415,"CLE"
"QB","Bart Houston",4000,"PIT@CLE 01:00PM ET",0,"PIT"
"QB","Joshua Dobbs",4000,"PIT@CLE 01:00PM ET",0,"PIT"
"QB","Jake Rudock",4000,"ARI@DET 01:00PM ET",0,"DET"
"QB","Trevor Knight",4000,"ARI@DET 01:00PM ET",0,"ARI"
"QB","Brad Kaaya",4000,"ARI@DET 01:00PM ET",0,"DET"
"QB","Brandon Weeden",4000,"JAX@HOU 01:00PM ET",0,"HOU"
"QB","Brandon Allen",4000,"JAX@HOU 01:00PM ET",0,"JAX"
"QB","Ryan Griffin",4000,"TB@MIA 01:00PM ET",0,"TB"
"QB","David Fales",4000,"TB@MIA 01:00PM ET",0.440,"MIA"
"QB","Brandon Doughty",4000,"TB@MIA 01:00PM ET",0,"MIA"
"QB","Sefo Liufau",4000,"TB@MIA 01:00PM ET",0,"TB"
"QB","EJ Manuel",4000,"OAK@TEN 01:00PM ET",1.206,"OAK"
"QB","Alex Tanney",4000,"OAK@TEN 01:00PM ET",0,"TEN"
"QB","Tyler Ferguson",4000,"OAK@TEN 01:00PM ET",0,"TEN"
"WR","Corey Davis",4000,"OAK@TEN 01:00PM ET",0,"TEN"
"QB","Matt McGloin",4000,"PHI@WAS 01:00PM ET",0.425,"PHI"
"QB","Dane Evans",4000,"PHI@WAS 01:00PM ET",0,"PHI"
"QB","Nate Sudfeld",4000,"PHI@WAS 01:00PM ET",0.000,"WAS"
"QB","Jacoby Brissett",4000,"IND@LAR 04:05PM ET",9.767,"IND"
"QB","Dan Orlovsky",4000,"IND@LAR 04:05PM ET",0,"LAR"
"RB","Robert Turbin",4000,"IND@LAR 04:05PM ET",7.220,"IND"
"QB","Stephen Morris",4000,"IND@LAR 04:05PM ET",0,"IND"
"WR","Robert Woods",4000,"IND@LAR 04:05PM ET",9.377,"LAR"
"QB","Phillip Walker",4000,"IND@LAR 04:05PM ET",0,"IND"
"QB","Austin Davis",4000,"SEA@GB 04:25PM ET",0,"SEA"
"QB","Taysom Hill",4000,"SEA@GB 04:25PM ET",0,"GB"
"QB","Joe Callahan",4000,"SEA@GB 04:25PM ET",0,"GB"
"QB","Joe Webb",4000,"CAR@SF 04:25PM ET",0.093,"CAR"
"QB","Matt Barkley",4000,"CAR@SF 04:25PM ET",13.834,"SF"
"QB","Garrett Gilbert",4000,"CAR@SF 04:25PM ET",0,"CAR"
"QB","C.J. Beathard",4000,"CAR@SF 04:25PM ET",0,"SF"
"QB","Nick Mullens",4000,"CAR@SF 04:25PM ET",0,"SF"
"RB","Joe Williams",4000,"CAR@SF 04:25PM ET",0,"SF"
"QB","Luke McCown",4000,"NYG@DAL 08:30PM ET",0,"DAL"
"QB","Josh Johnson",4000,"NYG@DAL 08:30PM ET",0,"NYG"
"QB","Cooper Rush",4000,"NYG@DAL 08:30PM ET",0,"DAL"
"QB","Davis Webb",4000,"NYG@DAL 08:30PM ET",0,"NYG"
"QB","Mitch Leidner",4000,"NO@MIN 07:10PM ET",0,"MIN"
"QB","Taylor Heinicke",4000,"NO@MIN 07:10PM ET",0.000,"MIN"
"QB","Teddy Bridgewater",4000,"NO@MIN 07:10PM ET",0,"MIN"
